#species	count
species:ncbi:5145	1309
species:ncbi:1335	1309
species:ncbi:3567	1306
species:ncbi:5322	1305
species:ncbi:7213	1301
species:ncbi:219868	1297
species:ncbi:7137	1295
species:ncbi:10261	1294
species:ncbi:301693	1292
species:ncbi:64495	1291
species:ncbi:645	1291
species:ncbi:10794	1282
species:ncbi:9521	1282
species:ncbi:5763	1278
species:ncbi:2109	1277
species:ncbi:262676	1272
species:ncbi:3917	1271
species:ncbi:13616	1271
species:ncbi:55194	1269
species:ncbi:28875	1269
species:ncbi:2115	1268
species:ncbi:9749	1265
species:ncbi:5518	1265
species:ncbi:11588	1263
species:ncbi:8790	1263
species:ncbi:7102	1263
species:ncbi:1126	1262
species:ncbi:10817	1261
species:ncbi:3758	1257
species:ncbi:34816	1253
species:ncbi:1421	1251
species:ncbi:6943	1250
species:ncbi:64667	1248
species:ncbi:5702	1246
species:ncbi:64457	1239
species:ncbi:192	1238
species:ncbi:549	1236
species:ncbi:8255	1234
species:ncbi:13373	1229
species:ncbi:6687	1228
species:ncbi:1655	1226
species:ncbi:5866	1225
species:ncbi:79923	1224
species:ncbi:944	1223
species:ncbi:3077	1219
species:ncbi:519	1217
species:ncbi:11604	1217
species:ncbi:29170	1216
species:ncbi:6206	1215
species:ncbi:3218	1214
species:ncbi:5801	1213
species:ncbi:37727	1211
species:ncbi:38626	1208
species:ncbi:12643	1206
species:ncbi:56765	1206
species:ncbi:13123	1200
species:ncbi:29929	1200
species:ncbi:859	1196
species:ncbi:8305	1193
species:ncbi:29908	1193
species:ncbi:3711	1192
species:ncbi:29518	1188
species:ncbi:7515	1187
species:ncbi:11520	1187
species:ncbi:63363	1187
species:ncbi:3899	1185
species:ncbi:10096	1180
species:ncbi:5599	1179
species:ncbi:9593	1178
species:ncbi:6269	1175
species:ncbi:11002	1175
species:ncbi:46835	1171
species:ncbi:9600	1167
species:ncbi:1349	1167
species:ncbi:6198	1164
species:ncbi:7067	1162
species:ncbi:29057	1162
species:ncbi:1648	1160
species:ncbi:6317	1160
species:ncbi:51029	1160
species:ncbi:85549	1160
species:ncbi:11029	1157
species:ncbi:1598	1157
species:ncbi:582	1156
species:ncbi:783	1156
species:ncbi:7797	1147
species:ncbi:2285	1144
species:ncbi:55987	1143
species:ncbi:818	1141
species:ncbi:10334	1140
