species:ncbi:386614	Thorny skate|r. radiata|Raja radiata|R. radiata|Amblyraja radiata|thorny skate|A.radiata|a.radiata|raja radiata|amblyraja radiata|R.radiata|a. radiata|r.radiata|thorny skates|Thorny skates|A. radiata
species:ncbi:370844	P.pygmaeus|macrolophus pygmaeus|phytocoris pygmaeus|M. pygmaeus|m.pygmaeus|p.pygmaeus|M.pygmaeus|m. pygmaeus|Phytocoris pygmaeus|p. pygmaeus|Macrolophus pygmaeus|P. pygmaeus
species:ncbi:326797	Nidulariaum procerum|nidularium procerum|n.procerum|n. procerum|N.procerum|Nidularium procerum Lindm.|nidularium procerum Lindm.|nidulariaum procerum|N. procerum|Nidularium procerum
species:ncbi:53502	S.caespitosus|s.caespitosus|streptomyces caespitosus|Streptomyces caespitosus|s. caespitosus|S. caespitosus
species:ncbi:319147	bridelia ferruginea|b. ferruginea|b.ferruginea|Bridelia ferruginea|B.ferruginea|B. ferruginea
species:ncbi:469930	G.kola|garcinia kola Heckel|g.kola Heckel|garcinia kola|G. kola Heckel|Garcinia kola Heckel|Garcinia kola|G.kola Heckel|G. kola|g.kola|g. kola Heckel|g. kola
species:ncbi:53553	T. rutilus|t. rutilus|Toxorhynchites rutilus|T.rutilus|toxorhynchites rutilus|toxorhinchites rutilus|t.rutilus|Toxorhinchites rutilus
species:ncbi:53522	a. alba|t. alba|T. mesouviformis Nonomura and Ohara 1974 (Approved Lists 1980)|T.alba|thermomonospora alba (Locci et al. 1967) Cross and Goodfellow 1973 (Approved Lists 1980)|t.mesouviformis|t. mesouviformis|thermomonospora mesouviformis|Thermomonospora alba|Actinobifida alba|Thermobifida alba|t. alba (Locci et al. 1967) Cross and Goodfellow 1973 (Approved Lists 1980)|t.alba (Locci et al. 1967) Zhang et al. 1998|thermomonospora mesouviformis Nonomura and Ohara 1974 (Approved Lists 1980)|Thermobifida alba (Locci et al. 1967) Zhang et al. 1998|t.alba|Thermomonospora mesouviformis Nonomura and Ohara 1974 (Approved Lists 1980)|t.alba (Locci et al. 1967) Cross and Goodfellow 1973 (Approved Lists 1980)|A.alba|Thermomonospora mesouviformis|T.mesouviformis Nonomura and Ohara 1974 (Approved Lists 1980)|thermomonospora alba|t.mesouviformis Nonomura and Ohara 1974 (Approved Lists 1980)|T. alba (Locci et al. 1967) Zhang et al. 1998|thermobifida alba (Locci et al. 1967) Zhang et al. 1998|T. alba (Locci et al. 1967) Cross and Goodfellow 1973 (Approved Lists 1980)|T.alba (Locci et al. 1967) Zhang et al. 1998|a.alba|T.mesouviformis|t. mesouviformis Nonomura and Ohara 1974 (Approved Lists 1980)|T. alba|Thermomonospora alba (Locci et al. 1967) Cross and Goodfellow 1973 (Approved Lists 1980)|t. alba (Locci et al. 1967) Zhang et al. 1998|A. alba|T. mesouviformis|thermobifida alba|actinobifida alba|T.alba (Locci et al. 1967) Cross and Goodfellow 1973 (Approved Lists 1980)
species:ncbi:53893	L.cuneata|perennial lespedeza|perennial lespedezas|chinese bush-clover|Chinese bush-clover|Perennial lespedeza|l.cuneata|chinese bush-clovers|Sericea lespedeza|Lespedeza cuneata|sericea lespedezas|Sericea lespedezas|lespedeza cuneata (Dum.Cours.) G.Don|lespedeza cuneata|Lespedeza cuneata (Dum.Cours.) G.Don|sericea lespedeza|l. cuneata|Perennial lespedezas|Chinese bush-clovers|L. cuneata
species:ncbi:53852	Golden-rain|pudding-pie-tree|C. fistula|Purging cassias|golden-rain|Pudding-pie-tree|cassia fistula|Cassia fistula|Cassia fustula|cassia fustula|Pudding-pie-trees|purging cassias|Purging cassia|C.fistula|pudding-pie-trees|purging cassia|cassia fistula L.|c. fistula|Golden-rains|golden-rains|Cassia fistula L.|c.fistula
